"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/31/2024","AQS","020130002","1","1.9","ug/m3 LC","11","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/03/2024","AQS","020130002","1","8","ug/m3 LC","44","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/06/2024","AQS","020130002","1","10","ug/m3 LC","53","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/09/2024","AQS","020130002","1","1.3","ug/m3 LC","7","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/12/2024","AQS","020130002","1","3.9","ug/m3 LC","22","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/15/2024","AQS","020130002","1","1.7","ug/m3 LC","9","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/18/2024","AQS","020130002","1","3.5","ug/m3 LC","19","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/21/2024","AQS","020130002","1","5","ug/m3 LC","28","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/24/2024","AQS","020130002","1","3","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/27/2024","AQS","020130002","1","3.5","ug/m3 LC","19","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/01/2024","AQS","020130002","1","2","ug/m3 LC","11","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/04/2024","AQS","020130002","1","5.1","ug/m3 LC","28","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/07/2024","AQS","020130002","1","1.6","ug/m3 LC","9","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/10/2024","AQS","020130002","1","1.8","ug/m3 LC","10","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/13/2024","AQS","020130002","1","1.5","ug/m3 LC","8","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/16/2024","AQS","020130002","1","1.6","ug/m3 LC","9","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/19/2024","AQS","020130002","1","4.7","ug/m3 LC","26","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/22/2024","AQS","020130002","1","3","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/25/2024","AQS","020130002","1","1.3","ug/m3 LC","7","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/28/2024","AQS","020130002","1","1.8","ug/m3 LC","10","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/31/2024","AQS","020130002","1","2.8","ug/m3 LC","16","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/03/2024","AQS","020130002","1","3.6","ug/m3 LC","20","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/06/2024","AQS","020130002","1","5.9","ug/m3 LC","33","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/09/2024","AQS","020130002","1","3.4","ug/m3 LC","19","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/12/2024","AQS","020130002","1","3.8","ug/m3 LC","21","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/15/2024","AQS","020130002","1","4.1","ug/m3 LC","23","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/18/2024","AQS","020130002","1","2.3","ug/m3 LC","13","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/21/2024","AQS","020130002","1","1.5","ug/m3 LC","8","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/24/2024","AQS","020130002","1","4.2","ug/m3 LC","23","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/27/2024","AQS","020130002","1","1.4","ug/m3 LC","8","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/30/2024","AQS","020130002","1","2.6","ug/m3 LC","14","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/01/2024","AQS","020200018","2","22.5","ug/m3 LC","76","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/07/2024","AQS","020200018","2","4.3","ug/m3 LC","24","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/13/2024","AQS","020200018","2","11.4","ug/m3 LC","55","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/19/2024","AQS","020200018","2","17.1","ug/m3 LC","66","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/31/2024","AQS","020200018","2","8.3","ug/m3 LC","46","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/06/2024","AQS","020200018","2","11.5","ug/m3 LC","55","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/12/2024","AQS","020200018","2","3.8","ug/m3 LC","21","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/24/2024","AQS","020200018","2","3.3","ug/m3 LC","18","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"03/01/2024","AQS","020200018","2","3.3","ug/m3 LC","18","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"03/07/2024","AQS","020200018","2","6.9","ug/m3 LC","38","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"03/19/2024","AQS","020200018","2","8.5","ug/m3 LC","47","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"03/25/2024","AQS","020200018","2","5.5","ug/m3 LC","31","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"03/31/2024","AQS","020200018","2","1.8","ug/m3 LC","10","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"04/06/2024","AQS","020200018","2","1.6","ug/m3 LC","9","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"04/12/2024","AQS","020200018","2","0.6","ug/m3 LC","3","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"04/18/2024","AQS","020200018","2","5.7","ug/m3 LC","32","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"04/24/2024","AQS","020200018","2","4.6","ug/m3 LC","26","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"04/30/2024","AQS","020200018","2","4.7","ug/m3 LC","26","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"05/06/2024","AQS","020200018","2","2","ug/m3 LC","11","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"05/12/2024","AQS","020200018","2","2.9","ug/m3 LC","16","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"05/18/2024","AQS","020200018","2","3.8","ug/m3 LC","21","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"05/24/2024","AQS","020200018","2","3.1","ug/m3 LC","17","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"05/30/2024","AQS","020200018","2","2.9","ug/m3 LC","16","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"06/05/2024","AQS","020200018","2","2.2","ug/m3 LC","12","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"06/11/2024","AQS","020200018","2","3","ug/m3 LC","17","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"06/17/2024","AQS","020200018","2","6.2","ug/m3 LC","34","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"06/23/2024","AQS","020200018","2","7.8","ug/m3 LC","43","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"06/29/2024","AQS","020200018","2","3.5","ug/m3 LC","19","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"07/05/2024","AQS","020200018","2","1.9","ug/m3 LC","11","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"07/11/2024","AQS","020200018","2","1.4","ug/m3 LC","8","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"07/17/2024","AQS","020200018","2","2.2","ug/m3 LC","12","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"07/23/2024","AQS","020200018","2","3","ug/m3 LC","17","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"07/29/2024","AQS","020200018","2","2","ug/m3 LC","11","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"08/04/2024","AQS","020200018","2","6.1","ug/m3 LC","34","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"08/10/2024","AQS","020200018","2","1.7","ug/m3 LC","9","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"08/16/2024","AQS","020200018","2","2.1","ug/m3 LC","12","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"08/22/2024","AQS","020200018","2","2.4","ug/m3 LC","13","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"08/28/2024","AQS","020200018","2","2.5","ug/m3 LC","14","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"09/03/2024","AQS","020200018","2","3.1","ug/m3 LC","17","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"09/09/2024","AQS","020200018","2","2.8","ug/m3 LC","16","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"09/15/2024","AQS","020200018","2","1.4","ug/m3 LC","8","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"09/21/2024","AQS","020200018","2","4.5","ug/m3 LC","25","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"09/27/2024","AQS","020200018","2","2.1","ug/m3 LC","12","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/01/2024","AQS","020200018","3","24.9","ug/m3 LC","80","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/02/2024","AQS","020200018","3","6.3","ug/m3 LC","35","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/03/2024","AQS","020200018","3","3.1","ug/m3 LC","17","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/04/2024","AQS","020200018","3","3.5","ug/m3 LC","19","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/05/2024","AQS","020200018","3","14.2","ug/m3 LC","61","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/06/2024","AQS","020200018","3","9.5","ug/m3 LC","52","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/07/2024","AQS","020200018","3","5","ug/m3 LC","28","GARDEN/TRINITY CHRISTIAN CHURCH","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
